Binomial,Family,Genus,tiplabel,Adult_habitat,Life_history,Sex_dichromatism,SVL,mass,rootmass,eyesize
Microhyla_pulverata,Microhylidae,Microhyla,Microhyla_pulverata_Microhylidae,Ground-dwelling,NA,NA,23.86666667,NA,NA,2.75
Oreophryne_variabilis,Microhylidae,Oreophryne,Oreophryne_variabilis_Microhylidae,Scansorial,NA,NA,25.36666667,1.8,1.213911269,3.15
Phrynomantis_microps,Microhylidae,Phrynomantis,Phrynomantis_microps_Microhylidae,Subfossorial,Free-living larvae,Absent,52.4,15.4,2.420893339,4.9
Plethodontohyla_notosticta,Microhylidae,Plethodontohyla,Plethodontohyla_notosticta_Microhylidae,Scansorial,Free-living larvae,Absent,37.6,4.866666667,1.687433406,4.3
Scaphiophryne_marmorata,Microhylidae,Scaphiophryne,Scaphiophryne_marmorata_Microhylidae,Subfossorial,Free-living larvae,Absent,39.93333333,8.566666667,2.003121282,5.2
Stumpffia_?grandis,Microhylidae,Stumpffia,Stumpffia_grandis_Microhylidae,Ground-dwelling,NA,NA,14.6,0.4,0.7368063,1.9
Synapturanus_mirandaribeiroi,Microhylidae,Synapturanus,Synapturanus_mirandaribeiroi_Microhylidae,Subfossorial,Free-living larvae,NA,31.06666667,2.9,1.424908204,2.066666667
Uperodon_globulosus,Microhylidae,Uperodon,Uperodon_globulosus_Microhylidae,Fossorial,Free-living larvae,Absent,69.5,72,4.160167646,4.55
Uperodon_systoma,Microhylidae,Uperodon,Uperodon_systoma_Microhylidae,Fossorial,NA,Absent,53.86666667,26.63333333,2.951528915,5.35
Crinia_signifera,Myobatrachidae,Crinia,Crinia_signifera_Myobatrachidae,Ground-dwelling,Free-living larvae,Absent,25.225,2.25,1.30550318,3.4
