genus_species,Order,Family,Genus,Species,tiplabel,SVL_mm,Mass_g,rootmass,ED_right_mm,ED_left_mm,eyemean,CD_right_mm,CD_left_mm,cormean,Adult_habitat,Activity_period,Mating_habitat,Life_history,Larval_habitat,Sex_dichromatism
Batrachyla_taeniata,Anura,Batrachylidae,Batrachyla,taeniata,Batrachyla_taeniata_Batrachylidae,33.8,4,1.587401052,4.4,4.4,4.4,3.7,3.7,3.7,Ground-dwelling,Nocturnal,Ground,Free-living larvae,NA,Absent
Boana_fasciata,Anura,Hylidae,Boana,fasciata,Hypsiboas_fasciatus_Hylidae,33.8,3,1.44224957,6,5.9,5.95,4.4,4.7,4.55,Scansorial,Nocturnal,Lentic water,Free-living larvae,Lentic water,NA
Boana_fasciata,Anura,Hylidae,Boana,fasciata,Hypsiboas_fasciatus_Hylidae,42.8,6,1.817120593,6,6.3,6.15,4.6,4.8,4.7,Scansorial,Nocturnal,Lentic water,Free-living larvae,Lentic water,NA
Boana_fasciata,Anura,Hylidae,Boana,fasciata,Hypsiboas_fasciatus_Hylidae,34.4,2.3,1.320006122,5.5,5,5.25,4.3,4.4,4.35,Scansorial,Nocturnal,Lentic water,Free-living larvae,Lentic water,NA
Bombina_microdeladigitora,Anura,Bombinatoridae,Bombina,microdeladigitora,Bombina_fortinuptialis_Bombinatoridae,80.3,64,4,9.2,9.5,9.35,6.8,7.2,7,Semiaquatic,Diurnal,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_microdeladigitora,Anura,Bombinatoridae,Bombina,microdeladigitora,Bombina_fortinuptialis_Bombinatoridae,75.6,49,3.65930571,9.9,8.5,9.2,6.6,6.7,6.65,Semiaquatic,Diurnal,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_microdeladigitora,Anura,Bombinatoridae,Bombina,microdeladigitora,Bombina_fortinuptialis_Bombinatoridae,75.3,47,3.60882608,8.3,8,8.15,6.2,6,6.1,Semiaquatic,Diurnal,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_microdeladigitora,Anura,Bombinatoridae,Bombina,microdeladigitora,Bombina_fortinuptialis_Bombinatoridae,75.2,45,3.556893304,8,8,8,5.6,6.1,5.85,Semiaquatic,Diurnal,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_orientalis,Anura,Bombinatoridae,Bombina,orientalis,Bombina_orientalis_Bombinatoridae,46,6,1.817120593,6.5,5.7,6.1,4.4,5,4.7,Semiaquatic,Both,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_orientalis,Anura,Bombinatoridae,Bombina,orientalis,Bombina_orientalis_Bombinatoridae,41.1,6,1.817120593,5.2,5.3,5.25,4.4,4.3,4.35,Semiaquatic,Both,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_orientalis,Anura,Bombinatoridae,Bombina,orientalis,Bombina_orientalis_Bombinatoridae,41.2,4,1.587401052,6.2,5.3,5.75,4.5,3.9,4.2,Semiaquatic,Both,Lentic water,Free-living larvae,Lentic water,Absent
